league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt,playing_time_playing_time_mp,playing_time_playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,misc_90s,misc_performance_crdy,misc_performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2018,Argentina,Cristian Ansaldi,Argentina,"DF,MF",31,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Argentina,Cristian Pavón,Argentina,FW,22,1996,4.0,1.0,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.0,0.0,0.0,0.58,0.0,0.0,,0.0,0.0,4,155.0,39.0,43.1,1.7,1,77.0,0,3,26.0,0,1.0,3.0,6.0,-3.0,-1.74,-1.74,1.7,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Eduardo Salvio,Argentina,"MF,DF",27,1990,2.0,2.0,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.0,0.0,0.0,0.62,0.0,0.0,,0.0,0.0,2,145.0,73.0,40.3,1.6,2,73.0,1,0,,2,0.5,1.0,2.0,-1.0,-0.62,0.22,1.6,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Enzo Pérez,Argentina,MF,32,1986,3.0,3.0,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,1.0,0.0,0.0,0.47,0.0,0.0,,0.0,0.0,3,192.0,64.0,53.3,2.1,3,64.0,0,0,,1,1.0,3.0,5.0,-2.0,-0.94,-0.4,2.1,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Federico Fazio,Argentina,DF,31,1987,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,45.0,45.0,12.5,0.5,0,,0,1,45.0,3,0.0,2.0,3.0,-1.0,-2.0,-1.43,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Franco Armani,Argentina,GK,31,1986,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,2,1.5,5.0,5.0,0.0,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Gabriel Mercado,Argentina,DF,31,1987,3.0,3.0,270.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.33,0.33,0.67,0.33,0.67,3.0,1.0,1.0,1.0,100.0,0.33,0.33,1.0,1.0,0.0,0.0,3,270.0,90.0,75.0,3.0,3,90.0,3,0,,1,1.0,5.0,8.0,-3.0,-1.0,-1.0,3.0,1.0,0.0,0.0,8.0,5.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Giovani Lo Celso,Argentina,"FW,MF",22,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Argentina,Gonzalo Higuaín,Argentina,FW,30,1987,3.0,1.0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0,2.0,66.7,2.01,1.34,0.0,0.0,0.0,0.0,3,134.0,45.0,37.2,1.5,1,92.0,1,2,21.0,1,1.33,2.0,3.0,-1.0,-0.67,0.12,1.5,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Javier Mascherano,Argentina,MF,34,1984,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,100.0,0.25,0.25,0.0,0.0,0.0,0.0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,6.0,9.0,-3.0,-0.75,,4.0,2.0,0.0,0.0,15.0,7.0,0.0,0.0,6.0,7.0,0.0,1.0,0.0
INT-World Cup,2018,Argentina,Lionel Messi,Argentina,"FW,MF",30,1987,4.0,4.0,360.0,4.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.25,0.5,0.75,0.25,0.75,4.0,1.0,18.0,6.0,33.3,4.5,1.5,0.06,0.17,0.0,1.0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,6.0,9.0,-3.0,-0.75,,4.0,1.0,0.0,0.0,4.0,17.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0
