league,season,team,player,nation,pos,age,club,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt,playing_time_playing_time_mp,playing_time_playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,misc_90s,misc_performance_crdy,misc_performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Argentina,Alexis Mac Allister,Argentina,MF,23,1. Brighton,1998,6.0,6.0,550.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.33,0.16,0.33,6.1,1.0,7.0,4.0,57.1,1.15,0.65,0.14,0.25,0.0,0.0,6,550.0,92.0,79.7,6.1,6,92.0,1,0,,1,2.33,13.0,5.0,8.0,1.31,1.95,6.1,0.0,0.0,0.0,1.0,13.0,0.0,1.0,3.0,4.0,,,0.0
INT-World Cup,2022,Argentina,Cristian Romero,Argentina,DF,24,1. Tottenham,1998,7.0,6.0,547.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,7,547.0,78.0,79.3,6.1,6,88.0,4,1,22.0,0,2.0,14.0,6.0,8.0,1.32,1.95,6.1,2.0,0.0,0.0,12.0,3.0,0.0,0.0,3.0,3.0,,,0.0
INT-World Cup,2022,Argentina,Emiliano Martínez,Argentina,GK,29,1. Aston Villa,1992,7.0,7.0,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,7,690.0,99.0,100.0,7.7,7,99.0,7,0,,0,2.0,15.0,8.0,7.0,0.91,,7.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0
INT-World Cup,2022,Argentina,Enzo Fernández,Argentina,MF,21,1. Benfica,2001,7.0,5.0,564.0,6.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.16,0.16,0.32,0.16,0.32,6.3,1.0,8.0,3.0,37.5,1.28,0.48,0.13,0.33,0.0,0.0,7,564.0,81.0,81.7,6.3,5,100.0,4,2,33.0,0,2.0,14.0,6.0,8.0,1.28,1.99,6.3,1.0,0.0,0.0,7.0,6.0,0.0,2.0,3.0,15.0,,,1.0
INT-World Cup,2022,Argentina,Exequiel Palacios,Argentina,"DF,MF",23,1. Leverkusen,1998,3.0,0.0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,0.0,1.8,0.0,0.0,,0.0,0.0,3,50.0,17.0,7.2,0.6,0,,0,3,17.0,4,3.0,1.0,0.0,1.0,1.8,0.96,0.6,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,,,0.0
INT-World Cup,2022,Argentina,Franco Armani,Argentina,GK,35,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,7,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Argentina,Germán Pezzella,Argentina,DF,30,1. Real Betis,1991,3.0,0.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.0,0.0,1.5,0.0,0.0,,0.0,0.0,3,60.0,20.0,8.7,0.7,0,,0,3,20.0,4,1.67,0.0,3.0,-3.0,-4.5,-5.93,0.7,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,0.0
INT-World Cup,2022,Argentina,Gerónimo Rulli,Argentina,GK,30,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,7,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Argentina,Gonzalo Montiel,Argentina,DF,25,1. Sevilla,1997,4.0,1.0,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.76,0.0,0.0,,0.0,0.0,4,118.0,30.0,17.1,1.3,1,62.0,0,3,19.0,2,2.0,1.0,1.0,0.0,0.0,-1.1,1.3,3.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,,,0.0
INT-World Cup,2022,Argentina,Guido Rodríguez,Argentina,MF,28,1. Real Betis,1994,1.0,1.0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,56.0,56.0,8.1,0.6,1,56.0,0,0,,6,3.0,0.0,0.0,0.0,0.0,-0.99,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
