jersey_number,position,name,dob,nation,nation_code,club,club_country,height_cm,caps,int_goals,c2425_matches,c2425_starts,c2425_minutes,c2425_nineties,c2425_goals,c2425_assists,c2425_pens_scored,c2425_pens_att,c2425_yellows,c2425_reds,c2425_shots,c2425_shots_on_target,c2425_fouls,c2425_interceptions,c2425_tackles_won,c2425_own_goals,c2425_pens_won,c2425_pens_conceded,c2425_match_score,c2425_matched_player,c2526_matches,c2526_starts,c2526_minutes,c2526_nineties,c2526_goals,c2526_assists,c2526_pens_scored,c2526_pens_att,c2526_yellows,c2526_reds,c2526_shots,c2526_shots_on_target,c2526_fouls,c2526_interceptions,c2526_tackles_won,c2526_own_goals,c2526_pens_won,c2526_pens_conceded,c2526_match_score,c2526_matched_player,i2018_matches,i2018_starts,i2018_minutes,i2018_nineties,i2018_goals,i2018_assists,i2018_pens_scored,i2018_pens_att,i2018_yellows,i2018_reds,i2018_shots,i2018_shots_on_target,i2018_fouls,i2018_interceptions,i2018_tackles_won,i2018_own_goals,i2018_pens_won,i2018_pens_conceded,i2018_match_score,i2018_matched_player,i2022_matches,i2022_starts,i2022_minutes,i2022_nineties,i2022_goals,i2022_assists,i2022_pens_scored,i2022_pens_att,i2022_yellows,i2022_reds,i2022_shots,i2022_shots_on_target,i2022_fouls,i2022_interceptions,i2022_tackles_won,i2022_own_goals,i2022_pens_won,i2022_pens_conceded,i2022_match_score,i2022_matched_player
1,GK,MASTIL Melvin Melvin Feycal MASTIL MASTIL,19/02/2000,Algeria,ALG,FC Stade Nyonnais,SUI,194,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DF,MANDI Aissa Aissa MANDI MANDI,22/10/1991,Algeria,ALG,Lille OSC,FRA,184,121,8,24.0,20.0,1733.0,19.3,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,7.0,14.0,18.0,0.0,,,100.0,Aïssa Mandi,29.0,28.0,2424.0,26.9,1.0,0.0,0.0,0.0,8.0,0.0,14.0,4.0,17.0,44.0,21.0,0.0,,,100.0,Aïssa Mandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DF,ABADA Achref Achref ABADA ABADA,15/06/1999,Algeria,ALG,USM Alger,ALG,185,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DF,TOUGAI Mohamed Amine Mohamed Amine TOUGAI TOUGAI,22/01/2000,Algeria,ALG,Espérance De Tunisie,TUN,186,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DF,BELAID Zineddine Zineddine BELAÏD BELAID,20/03/1999,Algeria,ALG,JS Kabylie,ALG,186,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MF,ZERROUKI Ramiz Ramiz Larbi ZERROUKI ZERROUKI,26/05/1998,Algeria,ALG,FC Twente,NED,183,55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,FW,MAHREZ Riyad Riyad Karim MAHREZ MAHREZ,21/02/1991,Algeria,ALG,Al Ahli FC,KSA,179,118,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MF,AOUAR Houssem Houssem-Eddine Chaabane AOUAR AOUAR,30/06/1998,Algeria,ALG,Al Ittihad,KSA,175,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FW,GOUIRI Amine Amine Ferid GHOUIRI GOUIRI,16/02/2000,Algeria,ALG,Olympique Marseille,FRA,180,25,11,14.0,12.0,1048.0,11.6,10.0,3.0,0.0,0.0,0.0,0.0,51.0,25.0,11.0,1.0,5.0,0.0,,,100.0,Amine Gouiri,22.0,15.0,1326.0,14.7,8.0,3.0,0.0,0.0,1.0,0.0,38.0,17.0,17.0,3.0,9.0,0.0,,,100.0,Amine Gouiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MF,CHAIBI Fares Fares CHAIBI CHAIBI,28/11/2002,Algeria,ALG,Eintracht Frankfurt,GER,183,33,3,26.0,10.0,1013.0,11.3,1.0,3.0,0.0,0.0,2.0,0.0,25.0,6.0,5.0,10.0,10.0,0.0,,,100.0,Fares Chaïbi,28.0,21.0,1792.0,19.9,2.0,9.0,0.0,0.0,2.0,0.0,35.0,9.0,14.0,13.0,21.0,0.0,,,100.0,Fares Chaïbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FW,HADJ MOUSSA Anis Anis HADJ MOUSSA HADJ MOUSSA,11/02/2002,Algeria,ALG,Feyenoord Rotterdam,NED,176,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FW,BENBOUALI Nadhir Ahmed Nadhir BENBOUALI BENBOUALI,17/04/2000,Algeria,ALG,Györi ETO FC,HUN,190,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DF,HADJAM Jaouen Jaouen Djimmy HADJAM HADJAM,26/03/2003,Algeria,ALG,BSC Young Boys,SUI,185,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MF,BOUDAOUI Hicham Hicham BOUDAOUI BOUDAOUI,23/09/1999,Algeria,ALG,OGC Nice,FRA,175,36,0,29.0,27.0,2435.0,27.1,2.0,3.0,0.0,0.0,9.0,0.0,39.0,19.0,41.0,24.0,52.0,0.0,,,100.0,Hicham Boudaoui,25.0,18.0,1694.0,18.8,1.0,2.0,0.0,0.0,5.0,0.0,21.0,9.0,19.0,18.0,16.0,0.0,,,100.0,Hicham Boudaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DF,AIT-NOURI Rayan Rayan AÏT-NOURI AIT NOURI,06/06/2001,Algeria,ALG,Manchester City FC,ENG,180,32,0,37.0,37.0,3109.0,34.5,4.0,7.0,0.0,0.0,7.0,1.0,36.0,13.0,30.0,24.0,55.0,0.0,,,100.0,Rayan Aït-Nouri,17.0,12.0,974.0,10.8,0.0,2.0,0.0,0.0,2.0,0.0,10.0,2.0,17.0,13.0,21.0,0.0,,,100.0,Rayan Aït-Nouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GK,BENBOT Oussama Oussama BENBOT BENBOT,11/10/1994,Algeria,ALG,USM Alger,ALG,188,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,DF,BELGHALI Ra,07/06/2002,Algeria,ALG,Hellas Verona FC,ITA,180,15,1,,,,,,,,,,,,,,,,,,,,,26.0,22.0,1920.0,21.3,2.0,0.0,0.0,0.0,6.0,0.0,21.0,6.0,20.0,17.0,13.0,0.0,,,88.0,Rafik Belghali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FW,AMOURA Mohamed Mohammed Elamine AMOURA AMOURA,09/05/2000,Algeria,ALG,VfL Wolfsburg,GER,170,48,19,31.0,29.0,2467.0,27.4,10.0,9.0,2.0,2.0,6.0,0.0,76.0,28.0,31.0,9.0,21.0,0.0,,,100.0,Mohamed Amoura,30.0,23.0,1919.0,21.3,8.0,3.0,1.0,1.0,2.0,0.0,60.0,19.0,21.0,7.0,22.0,0.0,,,100.0,Mohamed Amoura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MF,BENTALEB Nabil Nabil BENTALEB BENTALEB,24/11/1994,Algeria,ALG,Lille OSC,FRA,189,62,6,10.0,3.0,329.0,3.7,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,5.0,3.0,0.0,,,100.0,Nabil Bentaleb,26.0,13.0,1287.0,14.3,2.0,2.0,1.0,1.0,3.0,0.0,18.0,6.0,14.0,15.0,12.0,0.0,,,100.0,Nabil Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FW,BOULBINA Adil Adil BOULBINA BOULBINA,02/05/2003,Algeria,ALG,Al Duhail SC,QAT,183,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DF,BENSEBAINI Ramy Amir Selmane Rami BENSEBAINI BENSEBAINI,16/04/1995,Algeria,ALG,Borussia Dortmund,GER,187,84,9,31.0,23.0,2022.0,22.5,1.0,6.0,0.0,0.0,6.0,0.0,20.0,2.0,28.0,27.0,27.0,0.0,,,100.0,Ramy Bensebaini,21.0,15.0,1530.0,17.0,5.0,2.0,2.0,2.0,6.0,0.0,17.0,7.0,31.0,18.0,14.0,0.0,,,100.0,Ramy Bensebaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MF,MAZA Ibrahim Ibrahim MAZA MAZA,24/11/2005,Algeria,ALG,Bayer 04 Leverkusen,GER,180,19,2,,,,,,,,,,,,,,,,,,,,,28.0,20.0,1849.0,20.5,3.0,4.0,0.0,0.0,2.0,0.0,54.0,17.0,19.0,16.0,24.0,0.0,,,100.0,Ibrahim Maza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GK,ZIDANE Luca Luca Zinedine ZIDANE ZIDANE,13/05/1998,Algeria,ALG,Granada CF,ESP,183,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MF,TITRAOUI Yassine Yassine M E G TITRAOUI TITRAOUI,26/07/2003,Algeria,ALG,Sporting Charleroi,BEL,180,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FW,GHEDJEMIS Fares Fares GHEDJEMIS GHEDJEMIS,06/09/2002,Algeria,ALG,Frosinone,ITA,183,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DF,CHERGUI Samir Samir Sophian CHERGUI CHERGUI,06/02/1999,Algeria,ALG,Paris FC,FRA,185,5,0,,,,,,,,,,,,,,,,,,,,,15.0,13.0,1154.0,12.8,1.0,0.0,0.0,0.0,1.0,0.0,13.0,4.0,14.0,13.0,12.0,0.0,,,100.0,Samir Chergui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
