league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off
INT-World Cup,2018,Argentina,Cristian Ansaldi,Argentina,"DF,MF",31,1986,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Argentina,Cristian Pavón,Argentina,FW,22,1996,4,155,39,43.1,1.7,1,77,0,3,26,0,1.0,3,6,-3,-1.74,-1.74
INT-World Cup,2018,Argentina,Eduardo Salvio,Argentina,"MF,DF",27,1990,2,145,73,40.3,1.6,2,73,1,0,,2,0.5,1,2,-1,-0.62,0.22
INT-World Cup,2018,Argentina,Enzo Pérez,Argentina,MF,32,1986,3,192,64,53.3,2.1,3,64,0,0,,1,1.0,3,5,-2,-0.94,-0.4
INT-World Cup,2018,Argentina,Federico Fazio,Argentina,DF,31,1987,1,45,45,12.5,0.5,0,,0,1,45,3,0.0,2,3,-1,-2.0,-1.43
INT-World Cup,2018,Argentina,Franco Armani,Argentina,GK,31,1986,2,180,90,50.0,2.0,2,90,2,0,,2,1.5,5,5,0,0.0,1.5
INT-World Cup,2018,Argentina,Gabriel Mercado,Argentina,DF,31,1987,3,270,90,75.0,3.0,3,90,3,0,,1,1.0,5,8,-3,-1.0,-1.0
INT-World Cup,2018,Argentina,Giovani Lo Celso,Argentina,"FW,MF",22,1996,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Argentina,Gonzalo Higuaín,Argentina,FW,30,1987,3,134,45,37.2,1.5,1,92,1,2,21,1,1.33,2,3,-1,-0.67,0.12
INT-World Cup,2018,Argentina,Javier Mascherano,Argentina,MF,34,1984,4,360,90,100.0,4.0,4,90,4,0,,0,1.0,6,9,-3,-0.75,
INT-World Cup,2018,Argentina,Lionel Messi,Argentina,"FW,MF",30,1987,4,360,90,100.0,4.0,4,90,4,0,,0,1.0,6,9,-3,-0.75,
INT-World Cup,2018,Argentina,Lucas Biglia,Argentina,MF,32,1986,1,53,53,14.7,0.6,1,53,0,0,,3,1.0,1,1,0,0.0,0.88
INT-World Cup,2018,Argentina,Marcos Acuña,Argentina,MF,26,1991,1,90,90,25.0,1.0,1,90,1,0,,3,0.0,0,3,-3,-3.0,-3.0
INT-World Cup,2018,Argentina,Marcos Rojo,Argentina,DF,28,1990,3,225,75,62.5,2.5,3,75,2,0,,1,1.33,4,3,1,0.4,3.07
INT-World Cup,2018,Argentina,Maximiliano Meza,Argentina,"MF,FW",25,1992,4,208,52,57.8,2.3,2,88,1,2,17,0,1.0,3,4,-1,-0.43,0.75
INT-World Cup,2018,Argentina,Nahuel Guzmán,Argentina,GK,32,1986,0,,,,,0,,0,0,,4,,,,,,
INT-World Cup,2018,Argentina,Nicolás Otamendi,Argentina,DF,30,1988,4,360,90,100.0,4.0,4,90,4,0,,0,1.0,6,9,-3,-0.75,
INT-World Cup,2018,Argentina,Nicolás Tagliafico,Argentina,DF,25,1992,4,349,87,96.9,3.9,4,87,3,0,,0,1.0,5,9,-4,-1.03,-9.21
INT-World Cup,2018,Argentina,Paulo Dybala,Argentina,"FW,MF",24,1993,1,23,23,6.4,0.3,0,,0,1,22,3,0.0,0,2,-2,-7.83,-7.56
INT-World Cup,2018,Argentina,Sergio Agüero,Argentina,FW,30,1988,4,179,45,49.7,2.0,2,73,1,2,17,0,1.0,3,3,0,0.0,1.49
INT-World Cup,2018,Argentina,Willy Caballero,Argentina,GK,36,1981,2,180,90,50.0,2.0,2,90,2,0,,2,0.5,1,4,-3,-1.5,-1.5
INT-World Cup,2018,Argentina,Ángel Di María,Argentina,"MF,FW",30,1988,3,235,78,65.3,2.6,3,78,1,0,,1,1.33,5,6,-1,-0.38,1.06
INT-World Cup,2018,Argentina,Éver Banega,Argentina,MF,29,1988,3,217,72,60.3,2.4,2,91,2,1,36,1,1.33,5,5,0,0.0,1.89
INT-World Cup,2018,Australia,Aaron Mooy,Australia,MF,27,1990,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Australia,Andrew Nabbout,Australia,FW,25,1992,2,137,69,50.7,1.5,2,69,0,0,,1,0.5,2,2,0,0.0,2.03
INT-World Cup,2018,Australia,Aziz Behich,Australia,DF,27,1990,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,5,-3,-1.0,
INT-World Cup,2018,Australia,Brad Jones,Australia,GK,36,1982,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Australia,Daniel Arzani,Australia,"FW,MF",19,1999,3,63,21,23.3,0.7,0,,0,3,20,0,0.33,0,0,0,0.0,1.3
INT-World Cup,2018,Australia,Danny Vukovic,Australia,GK,33,1985,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Australia,Dimitri Petratos,Australia,"FW,MF",25,1992,0,,,,,0,,0,0,,3,,,,,,
