league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
INT-World Cup,2018,Argentina,Cristian Pavón,Argentina,FW,22,1996,1.7,0,1,0,0.0,0.58,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Eduardo Salvio,Argentina,"MF,DF",27,1990,1.6,0,1,0,0.0,0.62,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Enzo Pérez,Argentina,MF,32,1986,2.1,0,1,0,0.0,0.47,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Federico Fazio,Argentina,DF,31,1987,0.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Argentina,Franco Armani,Argentina,GK,31,1986,2.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Argentina,Gabriel Mercado,Argentina,DF,31,1987,3.0,1,1,1,100.0,0.33,0.33,1.0,1.0,0,0
INT-World Cup,2018,Argentina,Gonzalo Higuaín,Argentina,FW,30,1987,1.5,0,3,2,66.7,2.01,1.34,0.0,0.0,0,0
INT-World Cup,2018,Argentina,Javier Mascherano,Argentina,MF,34,1984,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,0,0
INT-World Cup,2018,Argentina,Lionel Messi,Argentina,"FW,MF",30,1987,4.0,1,18,6,33.3,4.5,1.5,0.06,0.17,0,1
INT-World Cup,2018,Argentina,Lucas Biglia,Argentina,MF,32,1986,0.6,0,2,0,0.0,3.4,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Marcos Acuña,Argentina,MF,26,1991,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Marcos Rojo,Argentina,DF,28,1990,2.5,1,3,1,33.3,1.2,0.4,0.33,1.0,0,0
INT-World Cup,2018,Argentina,Maximiliano Meza,Argentina,"MF,FW",25,1992,2.3,0,3,1,33.3,1.3,0.43,0.0,0.0,0,0
INT-World Cup,2018,Argentina,Nicolás Otamendi,Argentina,DF,30,1988,4.0,0,4,1,25.0,1.0,0.25,0.0,0.0,0,0
INT-World Cup,2018,Argentina,Nicolás Tagliafico,Argentina,DF,25,1992,3.9,0,3,0,0.0,0.77,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Paulo Dybala,Argentina,"FW,MF",24,1993,0.3,0,1,0,0.0,3.91,0.0,0.0,,0,0
INT-World Cup,2018,Argentina,Sergio Agüero,Argentina,FW,30,1988,2.0,2,6,3,50.0,3.02,1.51,0.33,0.67,0,0
INT-World Cup,2018,Argentina,Willy Caballero,Argentina,GK,36,1981,2.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Argentina,Ángel Di María,Argentina,"MF,FW",30,1988,2.6,1,3,1,33.3,1.15,0.38,0.33,1.0,0,0
INT-World Cup,2018,Argentina,Éver Banega,Argentina,MF,29,1988,2.4,0,3,1,33.3,1.24,0.41,0.0,0.0,0,0
INT-World Cup,2018,Australia,Aaron Mooy,Australia,MF,27,1990,3.0,0,3,0,0.0,1.0,0.0,0.0,,0,0
INT-World Cup,2018,Australia,Andrew Nabbout,Australia,FW,25,1992,1.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Aziz Behich,Australia,DF,27,1990,3.0,0,2,0,0.0,0.67,0.0,0.0,,0,0
INT-World Cup,2018,Australia,Daniel Arzani,Australia,"FW,MF",19,1999,0.7,0,2,1,50.0,2.86,1.43,0.0,0.0,0,0
INT-World Cup,2018,Australia,Jackson Irvine,Australia,"DF,MF",25,1993,0.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Josh Risdon,Australia,DF,25,1992,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0
INT-World Cup,2018,Australia,Mark Milligan,Australia,DF,32,1985,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Mathew Leckie,Australia,"FW,MF",27,1991,3.0,0,9,1,11.1,3.0,0.33,0.0,0.0,0,0
INT-World Cup,2018,Australia,Mathew Ryan,Australia,GK,26,1992,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Australia,Mile Jedinak,Australia,MF,33,1984,3.0,2,6,3,50.0,2.0,1.0,0.0,0.0,2,2
