league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk
INT-World Cup,2018,Argentina,Cristian Pavón,Argentina,FW,22,1996,4,1,155,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Eduardo Salvio,Argentina,"MF,DF",27,1990,2,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Enzo Pérez,Argentina,MF,32,1986,3,3,192,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Federico Fazio,Argentina,DF,31,1987,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Franco Armani,Argentina,GK,31,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Gabriel Mercado,Argentina,DF,31,1987,3,3,270,3.0,1,1,2,1,0,0,1,0,0.33,0.33,0.67,0.33,0.67
INT-World Cup,2018,Argentina,Gonzalo Higuaín,Argentina,FW,30,1987,3,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Javier Mascherano,Argentina,MF,34,1984,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Lionel Messi,Argentina,"FW,MF",30,1987,4,4,360,4.0,1,2,3,1,0,1,1,0,0.25,0.5,0.75,0.25,0.75
INT-World Cup,2018,Argentina,Lucas Biglia,Argentina,MF,32,1986,1,1,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Marcos Acuña,Argentina,MF,26,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Marcos Rojo,Argentina,DF,28,1990,3,3,225,2.5,1,1,2,1,0,0,1,0,0.4,0.4,0.8,0.4,0.8
INT-World Cup,2018,Argentina,Maximiliano Meza,Argentina,"MF,FW",25,1992,4,2,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Nicolás Otamendi,Argentina,DF,30,1988,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Nicolás Tagliafico,Argentina,DF,25,1992,4,4,349,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Paulo Dybala,Argentina,"FW,MF",24,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Sergio Agüero,Argentina,FW,30,1988,4,2,179,2.0,2,0,2,2,0,0,0,0,1.01,0.0,1.01,1.01,1.01
INT-World Cup,2018,Argentina,Willy Caballero,Argentina,GK,36,1981,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Argentina,Ángel Di María,Argentina,"MF,FW",30,1988,3,3,235,2.6,1,0,1,1,0,0,0,0,0.38,0.0,0.38,0.38,0.38
INT-World Cup,2018,Argentina,Éver Banega,Argentina,MF,29,1988,3,2,217,2.4,0,2,2,0,0,0,2,0,0.0,0.83,0.83,0.0,0.83
INT-World Cup,2018,Australia,Aaron Mooy,Australia,MF,27,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Andrew Nabbout,Australia,FW,25,1992,2,2,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Aziz Behich,Australia,DF,27,1990,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Daniel Arzani,Australia,"FW,MF",19,1999,3,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Jackson Irvine,Australia,"DF,MF",25,1993,3,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Josh Risdon,Australia,DF,25,1992,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Mark Milligan,Australia,DF,32,1985,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Mathew Leckie,Australia,"FW,MF",27,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Mathew Ryan,Australia,GK,26,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Mile Jedinak,Australia,MF,33,1984,3,3,270,3.0,2,0,2,0,2,2,1,0,0.67,0.0,0.67,0.0,0.0
INT-World Cup,2018,Australia,Robbie Kruse,Australia,"FW,MF",29,1988,3,3,207,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Tim Cahill,Australia,"FW,MF",38,1979,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Tom Rogić,Australia,MF,25,1992,3,3,223,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Tomi Juric,Australia,FW,26,1991,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Trent Sainsbury,Australia,DF,26,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Adnan Januzaj,Belgium,FW,23,1995,1,1,85,0.9,1,0,1,1,0,0,0,0,1.06,0.0,1.06,1.06,1.06
INT-World Cup,2018,Belgium,Axel Witsel,Belgium,MF,29,1989,6,6,539,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Dedryck Boyata,Belgium,DF,27,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Dries Mertens,Belgium,FW,31,1987,6,3,298,3.3,1,1,2,1,0,0,0,0,0.3,0.3,0.6,0.3,0.6
INT-World Cup,2018,Belgium,Eden Hazard,Belgium,FW,27,1991,6,6,517,5.7,3,2,5,2,1,1,1,0,0.52,0.35,0.87,0.35,0.7
INT-World Cup,2018,Belgium,Jan Vertonghen,Belgium,DF,31,1987,6,6,540,6.0,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17
INT-World Cup,2018,Belgium,Kevin De Bruyne,Belgium,"MF,FW",26,1991,6,6,540,6.0,1,2,3,1,0,0,1,0,0.17,0.33,0.5,0.17,0.5
INT-World Cup,2018,Belgium,Leander Dendoncker,Belgium,DF,23,1995,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Marouane Fellaini,Belgium,MF,30,1987,5,3,317,3.5,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28
INT-World Cup,2018,Belgium,Michy Batshuayi,Belgium,FW,24,1993,3,1,114,1.3,1,0,1,1,0,0,0,0,0.79,0.0,0.79,0.79,0.79
INT-World Cup,2018,Belgium,Mousa Dembélé,Belgium,MF,30,1987,4,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Nacer Chadli,Belgium,MF,28,1989,6,4,326,3.6,1,1,2,1,0,0,0,0,0.28,0.28,0.55,0.28,0.55
INT-World Cup,2018,Belgium,Romelu Lukaku,Belgium,FW,25,1993,6,6,473,5.3,4,1,5,4,0,0,0,0,0.76,0.19,0.95,0.76,0.95
INT-World Cup,2018,Belgium,Thibaut Courtois,Belgium,GK,26,1992,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Thomas Meunier,Belgium,MF,26,1991,5,5,450,5.0,1,2,3,1,0,0,2,0,0.2,0.4,0.6,0.2,0.6
INT-World Cup,2018,Belgium,Thomas Vermaelen,Belgium,DF,32,1985,3,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Thorgan Hazard,Belgium,MF,25,1993,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
