league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Argentina,Alexis Mac Allister,Argentina,MF,23,1998,6.1,0,0,0,1,13,0,1,3,4,,,0
INT-World Cup,2022,Argentina,Cristian Romero,Argentina,DF,24,1998,6.1,2,0,0,12,3,0,0,3,3,,,0
INT-World Cup,2022,Argentina,Emiliano Martínez,Argentina,GK,29,1992,7.7,1,0,0,0,1,0,0,0,0,,,0
INT-World Cup,2022,Argentina,Enzo Fernández,Argentina,MF,21,2001,6.3,1,0,0,7,6,0,2,3,15,,,1
INT-World Cup,2022,Argentina,Exequiel Palacios,Argentina,"DF,MF",23,1998,0.6,0,0,0,2,3,0,0,2,0,,,0
INT-World Cup,2022,Argentina,Germán Pezzella,Argentina,DF,30,1991,0.7,1,0,0,2,2,0,0,0,0,,,0
INT-World Cup,2022,Argentina,Gonzalo Montiel,Argentina,DF,25,1997,1.3,3,0,0,4,2,1,3,1,2,,,0
INT-World Cup,2022,Argentina,Guido Rodríguez,Argentina,MF,28,1994,0.6,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Argentina,Juan Foyth,Argentina,DF,24,1998,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Argentina,Julián Álvarez,Argentina,FW,22,2000,5.2,0,0,0,13,2,5,3,0,2,,,0
INT-World Cup,2022,Argentina,Lautaro Martínez,Argentina,FW,24,1997,2.7,0,0,0,1,5,5,0,1,0,,,0
INT-World Cup,2022,Argentina,Leandro Paredes,Argentina,MF,27,1994,2.5,2,0,0,6,5,0,0,3,4,,,0
INT-World Cup,2022,Argentina,Lionel Messi,Argentina,FW,34,1987,7.7,1,0,0,10,22,3,20,0,4,,,0
INT-World Cup,2022,Argentina,Lisandro Martínez,Argentina,DF,24,1998,3.4,1,0,0,2,3,0,1,3,2,,,0
INT-World Cup,2022,Argentina,Marcos Acuña,Argentina,"DF,MF",30,1991,4.1,3,0,0,9,9,0,17,2,8,,,0
INT-World Cup,2022,Argentina,Nahuel Molina,Argentina,"DF,MF",24,1998,6.3,0,0,0,3,0,1,6,3,4,,,0
INT-World Cup,2022,Argentina,Nicolás Otamendi,Argentina,DF,34,1988,7.7,2,0,0,13,5,1,0,9,6,,,0
INT-World Cup,2022,Argentina,Nicolás Tagliafico,Argentina,DF,29,1992,4.1,0,0,0,6,6,1,1,9,7,,,0
INT-World Cup,2022,Argentina,Papu Gómez,Argentina,"MF,FW",34,1988,1.2,0,0,0,1,5,1,1,1,0,,,0
INT-World Cup,2022,Argentina,Paulo Dybala,Argentina,"FW,MF",28,1993,0.2,0,0,0,1,0,0,0,0,1,,,0
INT-World Cup,2022,Argentina,Rodrigo De Paul,Argentina,MF,28,1994,6.7,0,0,0,7,15,0,12,7,7,,,0
INT-World Cup,2022,Argentina,Thiago Almada,Argentina,"FW,MF",21,2001,0.1,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Argentina,Ángel Correa,Argentina,"FW,MF",27,1995,0.1,0,0,0,0,1,0,0,0,1,,,0
